Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,x_dev,x_mon,PSI,Dev_BR,Mon_BR,Delta_BR,br_pvalue,Dev_AUC,Mon_AUC,Delta_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,score_shift_pvalue,Dev_EAD,Mon_EAD,Dev_Exposure_Pct,Mon_Exposure_Pct,Exposure_Drift,mean_feature_psi,mean_shap_shift,Calibration_Drift,Root_Cause_Feature,Root_Cause_PSI,Root_Cause_Score,feature_drift_details,Top_SHAP_Feature,Top_SHAP_PSI,Segment_Definition,BadRate_pvalue_adj,ScoreShift_pvalue_adj,Statistically_Significant,Business_Impact_Score,SIS_Raw,DIS_Raw,DIS_Symmetric,Confidence_Score,PSI_Interpretation,Severity_Score,Portfolio_Impact_Score,Drift_Explanation,Rank,Technique
573,1198,0.1146,0.2396,91,480,0.09219038274508189,0.15881326352530542,0.4006677796327212,0.2418545161074158,0.0,0.7306894350462815,0.7092023560817085,-0.021487078964573025,0.46137887009256295,0.4184047121634169,-0.04297415792914605,0.3750398978614747,0.33017061281337046,-0.044869285048104224,2.621314394083882e-24,93380907.42,201252537.76,0.11961235298982355,0.2430565666492327,0.12344421365940915,0.24228469291799903,0.025518119009673868,0.6245357522482747,dti,0.4434542757491564,0.901694,"[{""feature"": ""dti"", ""psi"": 0.4434542757491564}, {""feature"": ""bureau_score"", ""psi"": 0.37014917617807164}, {""feature"": ""region"", ""psi"": 0.3130111688095523}, {""feature"": ""age"", ""psi"": 0.30724672072722553}, {""feature"": ""utilization"", ""psi"": 0.019846816043988098}, {""feature"": ""employment_type"", ""psi"": 0.0}]",shap_region,0.4646090164027026,employment_type = SelfEmployed,0.0,1.703854356154523e-23,True,0.0661,0.001251,0.000811,0.000811,1.0,Population Share: Stable,18.0339,0.010297,"Significant bad-rate shift (Dev 15.88% -> Mon 40.07%, p_adj=0.0000)",1,AutoSlicer
321,529,0.0642,0.1058,43,131,0.020781168043096605,0.13395638629283488,0.24763705103969755,0.11368066474686267,6.826611023580398e-05,0.8024928894094027,0.7396908205147879,-0.06280206889461482,0.6049857788188053,0.4793816410295757,-0.12560413778922963,0.495984607662707,0.413057654685642,-0.08292695297706504,3.1318417048398455e-13,50514176.64,87905935.51,0.06470401385240661,0.10616569167753419,0.04146167782512758,0.21242057249319798,0.021796350605680498,0.25942757208838274,bureau_score,0.4901338367806639,0.518494,"[{""feature"": ""bureau_score"", ""psi"": 0.4901338367806639}, {""feature"": ""age"", ""psi"": 0.3782505199306311}, {""feature"": ""dti"", ""psi"": 0.14301339524152035}, {""feature"": ""employment_type"", ""psi"": 0.11567449847837438}, {""feature"": ""region"", ""psi"": 0.0976137893651953}, {""feature"": ""utilization"", ""psi"": 0.04983739516280281}]",shap_age,0.7572957492123054,dti >= 48.88 AND utilization < 33,0.00020039406553090845,7.307630644626307e-13,True,0.0129,0.000705,0.000336,0.000336,1.0,Population Share: Stable,10.3699,0.013289,"Gini drop 0.1256 (Dev 0.6050 -> Mon 0.4794) | KS drop 0.0829 (Dev 0.4960 -> Mon 0.4131) | Significant bad-rate shift (Dev 13.40% -> Mon 24.76%, p_adj=0.0002) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",2,AutoSlicer
283,540,0.0566,0.108,50,147,0.03321068323443524,0.17667844522968199,0.2722222222222222,0.09554377699254021,0.002279208783343867,0.7563519313304721,0.7174880130169115,-0.03886391831356062,0.5127038626609441,0.4349760260338229,-0.07772783662712124,0.4138197424892704,0.34512125460871373,-0.06869848788055666,2.5408854072687418e-05,41978664.07,91165249.62,0.05377080736855901,0.11010202811346387,0.05633122074490486,0.2372910415477811,0.021330801487588882,0.18950592964608415,age,0.45377393728316284,0.4506,"[{""feature"": ""age"", ""psi"": 0.45377393728316284}, {""feature"": ""bureau_score"", ""psi"": 0.4282787434964697}, {""feature"": ""region"", ""psi"": 0.19464710075905495}, {""feature"": ""dti"", ""psi"": 0.15993460688761885}, {""feature"": ""employment_type"", ""psi"": 0.10612569321727473}, {""feature"": ""utilization"", ""psi"": 0.08098616764310572}]",shap_age,0.6347957087720333,dti >= 48.88 AND 33 <= utilization < 47.67,0.0037205169857887355,3.167405096732267e-05,True,0.0132,0.000462,0.000272,0.000272,1.0,Population Share: Stable,9.012,0.008395,"Gini drop 0.0777 (Dev 0.5127 -> Mon 0.4350) | KS drop 0.0687 (Dev 0.4138 -> Mon 0.3451) | Significant bad-rate shift (Dev 17.67% -> Mon 27.22%, p_adj=0.0037) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",3,AutoSlicer
414,711,0.0828,0.1422,74,186,0.032123903485088826,0.178743961352657,0.2616033755274262,0.08285941417476919,0.0014753110767093958,0.7701907790143084,0.7372452636968766,-0.03294551531743184,0.5403815580286169,0.4744905273937532,-0.06589103063486368,0.4142289348171701,0.3568356374807988,-0.05739329733637133,1.3529682611487513e-08,62183506.44,114467603.00999999,0.07965135195134351,0.13824472918377162,0.05859337723242811,0.15857891707513658,0.020311160541388942,0.09824866099648599,bureau_score,0.3925453652362644,0.426912,"[{""feature"": ""bureau_score"", ""psi"": 0.3925453652362644}, {""feature"": ""age"", ""psi"": 0.35199990155129823}, {""feature"": ""dti"", ""psi"": 0.10865461145015731}, {""feature"": ""employment_type"", ""psi"": 0.055012323172711354}, {""feature"": ""utilization"", ""psi"": 0.04326130104038812}, {""feature"": ""region"", ""psi"": 0.0}]",shap_bureau_score,0.4397914873491276,dti >= 48.88 AND region = East,0.002533081282651981,2.086781555331125e-08,True,0.0216,0.000648,0.000313,0.000313,1.0,Population Share: Stable,8.5382,0.00937,"Gini drop 0.0659 (Dev 0.5404 -> Mon 0.4745) | KS drop 0.0574 (Dev 0.4142 -> Mon 0.3568) | Significant bad-rate shift (Dev 17.87% -> Mon 26.16%, p_adj=0.0025) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",4,AutoSlicer
1162,1137,0.2324,0.2274,178,236,0.0001087472183066029,0.153184165232358,0.2075637642919965,0.05437959905963849,0.0006923210801563773,0.6718221887275053,0.6544376305047122,-0.017384558222793167,0.34364437745501064,0.3088752610094243,-0.034769116445586334,0.31714168265278153,0.2576327620910852,-0.05950892056169632,2.090979761161027e-06,184957035.87,191047336.33,0.23691295012727234,0.2307315482959355,-0.006181401831336836,0.18032618694682934,0.010204717651861372,0.21988353722611564,dti,0.4582601915425573,0.346407,"[{""feature"": ""dti"", ""psi"": 0.4582601915425573}, {""feature"": ""age"", ""psi"": 0.33666285588037564}, {""feature"": ""region"", ""psi"": 0.16436583344154587}, {""feature"": ""employment_type"", ""psi"": 0.07746260891885563}, {""feature"": ""bureau_score"", ""psi"": 0.024980090514076674}, {""feature"": ""utilization"", ""psi"": 0.02022554138356475}]",shap_dti,0.4163860707022666,614 <= bureau_score < 661,0.0014318458703234166,2.7576689603717894e-06,True,0.0543,0.000912,0.0,2.4e-05,1.0,Population Share: Stable,6.9281,0.007906,"KS drop 0.0595 (Dev 0.3171 -> Mon 0.2576) | Significant bad-rate shift (Dev 15.32% -> Mon 20.76%, p_adj=0.0014)",5,AutoSlicer
338,235,0.0676,0.047,60,67,0.007487283855580507,0.17751479289940827,0.2851063829787234,0.10759159007931515,0.0022895489143315295,0.7365107913669064,0.7000710732054016,-0.03643971816150482,0.4730215827338129,0.40014214641080326,-0.07287943632300964,0.36738609112709836,0.3447938877043355,-0.022592203422762858,2.7013056222501768e-20,50466219.94,35785594.56999999,0.06464258573088678,0.043218951912338974,-0.02142363381854781,0.3126751611799144,0.0249589651265265,-0.1498580381705159,bureau_score,0.7865428194626888,0.344643,"[{""feature"": ""bureau_score"", ""psi"": 0.7865428194626888}, {""feature"": ""dti"", ""psi"": 0.4968574450795053}, {""feature"": ""region"", ""psi"": 0.3670763888815408}, {""feature"": ""employment_type"", ""psi"": 0.13373529230017342}, {""feature"": ""utilization"", ""psi"": 0.07698893791980757}, {""feature"": ""age"", ""psi"": 0.01485008343577042}]",shap_age,0.7689229423506668,36 <= age < 44 AND 47.67 <= utilization < 62.49,0.0037205169857887355,1.1705657696417433e-19,True,0.0022,7.4e-05,0.0,4.3e-05,1.0,Population Share: Stable,6.8929,0.003425,"Gini drop 0.0729 (Dev 0.4730 -> Mon 0.4001) | Significant bad-rate shift (Dev 17.75% -> Mon 28.51%, p_adj=0.0037) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",6,AutoSlicer
502,448,0.1004,0.0896,84,123,0.0012291143825888362,0.16733067729083664,0.27455357142857145,0.10722289413773481,6.433386344939507e-05,0.7355604921394395,0.7079924953095684,-0.0275679968298711,0.47112098427887905,0.41598499061913685,-0.0551359936597422,0.37462975620870353,0.3402876797998749,-0.03434207640882864,1.1981816290362229e-16,85724373.39,80743179.24,0.10980503716501705,0.09751509295163087,-0.01228994421338618,0.2560302334761538,0.026140124472348703,0.0998985426073491,bureau_score,0.5735161428405536,0.337654,"[{""feature"": ""bureau_score"", ""psi"": 0.5735161428405536}, {""feature"": ""dti"", ""psi"": 0.4328267741429353}, {""feature"": ""age"", ""psi"": 0.3747801310904774}, {""feature"": ""region"", ""psi"": 0.11017361607821083}, {""feature"": ""utilization"", ""psi"": 0.04488473670474567}, {""feature"": ""employment_type"", ""psi"": 0.0}]",shap_age,0.6077821973467994,employment_type = Business AND utilization >= 62.49,0.00019514605246316504,3.759811318699872e-16,True,0.0092,0.000241,0.0,3.6e-05,1.0,Population Share: Stable,6.7531,0.00494,"Gini drop 0.0551 (Dev 0.4711 -> Mon 0.4160) | Significant bad-rate shift (Dev 16.73% -> Mon 27.46%, p_adj=0.0002) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",7,AutoSlicer
301,294,0.0602,0.0588,48,109,3.2942696374271626e-05,0.15946843853820597,0.3707482993197279,0.21127986078152194,5.024028970623817e-09,0.750494071146245,0.7187453508554427,-0.031748720290802335,0.50098814229249,0.43749070171088533,-0.06349744058160467,0.4610507246376812,0.346888172576246,-0.11416255206143522,3.0558689530046783e-24,48755110.75,45411526.95999999,0.06245081225070559,0.054844375887370504,-0.007606436363335085,0.2535510380488364,0.026931623424563626,0.2780583350850916,bureau_score,0.6405044541571524,0.301102,"[{""feature"": ""bureau_score"", ""psi"": 0.6405044541571524}, {""feature"": ""dti"", ""psi"": 0.44948332959624276}, {""feature"": ""region"", ""psi"": 0.2559577094901687}, {""feature"": ""utilization"", ""psi"": 0.07678873412081712}, {""feature"": ""employment_type"", ""psi"": 0.07467555075633146}, {""feature"": ""age"", ""psi"": 0.023896450172306054}]",shap_utilization,0.6768010244119322,44 <= age < 51 AND utilization >= 62.49,3.047910908845116e-08,1.8538938314895047e-23,True,0.0034,0.000102,0.0,3e-06,1.0,Population Share: Stable,6.022,0.003734,"Gini drop 0.0635 (Dev 0.5010 -> Mon 0.4375) | KS drop 0.1142 (Dev 0.4611 -> Mon 0.3469) | Significant bad-rate shift (Dev 15.95% -> Mon 37.07%, p_adj=0.0000) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",8,AutoSlicer
1500,928,0.3,0.1856,210,193,0.05493358205238913,0.14,0.20797413793103448,0.06797413793103446,1.2174366669448489e-05,0.7557954964931709,0.740396884142258,-0.015398612350912888,0.5115909929863418,0.48079376828451603,-0.030797224701825776,0.39878183831672204,0.373620950971062,-0.02516088734566002,1.4022148998123133e-25,230620883.63,158260753.65000004,0.29540413883008054,0.1911345608141415,-0.10426957801593903,0.18703690961929395,0.01799894109195402,0.020736795267071395,dti,0.4168343931453937,0.299031,"[{""feature"": ""dti"", ""psi"": 0.4168343931453937}, {""feature"": ""bureau_score"", ""psi"": 0.3625732083950187}, {""feature"": ""age"", ""psi"": 0.30487181906932626}, {""feature"": ""employment_type"", ""psi"": 0.03307466766493966}, {""feature"": ""utilization"", ""psi"": 0.004867369441085365}, {""feature"": ""region"", ""psi"": 0.0}]",shap_age,0.61138055148902,region = North,4.43146946767925e-05,1.0633462990243375e-24,True,0.0385,0.000546,0.0,0.0004,1.0,Population Share: Stable,5.9806,0.005716,"Significant bad-rate shift (Dev 14.00% -> Mon 20.80%, p_adj=0.0000)",9,AutoSlicer
521,363,0.1042,0.0726,61,68,0.011418571756637111,0.11708253358925144,0.18732782369146006,0.07024529010220862,0.0036100899897677508,0.7440841054882394,0.6987537387836491,-0.04533036670459034,0.4881682109764789,0.3975074775672982,-0.09066073340918068,0.41315039201710624,0.326370887337986,-0.08677950467912021,4.830207024521185e-12,88828079.14000002,68893963.21000001,0.11378059874395749,0.08320456649669804,-0.030576032247259452,0.24588655557077913,0.01992872028609247,0.03138643943684505,dti,0.47008215873202996,0.297916,"[{""feature"": ""dti"", ""psi"": 0.47008215873202996}, {""feature"": ""age"", ""psi"": 0.44773774794258875}, {""feature"": ""bureau_score"", ""psi"": 0.4055890363004644}, {""feature"": ""region"", ""psi"": 0.13149806900158792}, {""feature"": ""utilization"", ""psi"": 0.020412321448003784}, {""feature"": ""employment_type"", ""psi"": 0.0}]",shap_age,0.6141131629627317,employment_type = Business AND utilization < 33,0.0055681048994722935,1.0222066028637857e-11,True,0.0067,0.000274,0.0,0.000148,1.0,Population Share: Stable,5.9583,0.006582,"Gini drop 0.0907 (Dev 0.4882 -> Mon 0.3975) | KS drop 0.0868 (Dev 0.4132 -> Mon 0.3264) | Significant bad-rate shift (Dev 11.71% -> Mon 18.73%, p_adj=0.0056) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift",10,AutoSlicer
